Date,GDP,Private C,Govt C,Total C,GFCF,Civilian Emp,Exports,Imports,Net Exports,Real Exchange rate,Terms of trade
1986:2,5466.9,3683,3683,7366,984.9,0.874,355.89,523.01,-2.939164538,91.59186664,0.959358287
1986:3,5496.3,3742.8,3742.8,7485.6,988.8,0.881,364.14,538.08,-3.105799743,93.78223764,0.968128141
1986:4,5526.8,3764.8,3764.8,7529.6,986.6,0.885,377.45,542.33,-2.938889753,93.63588127,0.970510218
1987:1,5561.8,3765.7,3765.7,7531.4,969.2,0.89,377.67,538.83,-3.055391287,96.57481329,0.990701829
1987:2,5618,3814,3814,7628,987.6,0.897,393.48,553.68,-3.115110547,99.38052804,0.998791428
1987:3,5667.4,3852.9,3852.9,7705.8,1003.3,0.904,411.06,563.23,-3.017405666,98.37678308,1.007976036
1987:4,5750.6,3856.5,3856.5,7713,998.1,0.909,425.69,577.02,-2.93637172,102.834813,1.00315271
1988:1,5785.3,3924.2,3924.2,7848.4,988.1,0.914,448.83,574.76,-2.468253644,106.228533,1.005100263
1988:2,5844,3952.2,3952.2,7904.4,1007.3,0.917,461.42,568.3,-2.065834733,107.434465,1.001643962
1988:3,5878.7,3985.1,3985.1,7970.2,1006.7,0.923,469.37,580.01,-1.880459319,103.6305226,0.979182501
1988:4,5952.8,4029.1,4029.1,8058.2,1016,0.928,483.53,597.79,-2.001805852,107.538445,0.988456694
1989:1,6011,4032.8,4032.8,8065.6,1019.5,0.935,501.97,590.68,-1.574255191,106.5340909,0.99421362
1989:2,6055.6,4047.4,4047.4,8094.8,1020.8,0.938,522.03,601.88,-1.500036947,103.5375324,1.004671258
1989:3,6088,4083.2,4083.2,8166.4,1036.6,0.941,521.31,605.8,-1.44526053,103.3449309,0.994414499
1989:4,6093.5,4095,4095,8190,1021.1,0.944,535.54,613.46,-1.401278486,104.6937707,1.002734643
1990:1,6152.6,4128.9,4128.9,8257.8,1037.9,0.953,555.21,622.27,-1.312581705,105.3703769,1.014635292
1990:2,6171.6,4134.7,4134.7,8269.4,1014.4,0.953,566.83,633.48,-1.048549767,105.6338028,0.992040024
1990:3,6142.1,4148.5,4148.5,8297,1006.9,0.951,561.79,633,-1.359344194,108.841563,1.013080566
1990:4,6079,4116.4,4116.4,8232.8,982.7,0.948,573.91,616.41,-1.243578878,112.0824927,1.04701058
1991:1,6047.5,4084.5,4084.5,8169,943.4,0.942,572.34,596.59,-0.565107611,111.4123371,1.014015795
1991:2,6074.7,4110,4110,8220,942.3,0.943,600.28,617.38,-0.208739924,107.9447323,0.992145214
1991:3,6090.1,4119.5,4119.5,8239,943.7,0.943,603.63,633.42,-0.368054855,108.2954299,0.987602906
1991:4,6105.3,4109.1,4109.1,8218.2,944.7,0.943,623.45,641.38,-0.248246447,111.6445238,0.995240466
1992:1,6175.7,4173.8,4173.8,8347.6,969.2,0.944,633.01,647.83,-0.145382077,112.7099222,0.990875052
1992:2,6214.2,4196.4,4196.4,8392.8,991.9,0.948,635.82,668.34,-0.467651422,113.2331849,0.994727761
1992:3,6260.7,4226.7,4226.7,8453.4,995.9,0.951,639.71,670.52,-0.599518472,115.9689203,1.010083549
1992:4,6327.1,4282.3,4282.3,8564.6,1013.2,0.952,649.13,689.14,-0.668953957,111.7360051,1.00390628
1993:1,6327.9,4286.8,4286.8,8573.6,1015.5,0.955,647.23,701.91,-0.723097215,109.9666435,0.98850189
1993:2,6359.9,4322.8,4322.8,8645.6,1034,0.96,660.11,722.68,-0.883378654,112.3301007,0.992853283
1993:3,6393.5,4366.6,4366.6,8733.2,1043.3,0.965,646.28,729.4,-1.096644663,112.0615591,0.984812222
1993:4,6476.9,4398,4398,8796,1079.8,0.971,679.11,759.66,-0.993407118,111.561489,0.9815991
1994:1,6524.5,4439.4,4439.4,8878.8,1077.4,0.976,676.03,773.64,-1.127415628,111.3131238,0.972482223
1994:2,6600.3,4472.2,4472.2,8944.4,1106.3,0.981,704.13,808.02,-1.270364904,112.5070317,0.979173587
1994:3,6629.5,4498.2,4498.2,8996.4,1125.2,0.987,722.11,833.23,-1.479997137,115.3757403,0.988957946
1994:4,6688.6,4534.1,4534.1,9068.2,1137.6,0.997,747.33,853.2,-1.345885536,116.4641485,0.985446491
1995:1,6717.5,4555.3,4555.3,9110.6,1154.8,0.999,763.89,873.43,-1.320633681,114.0554309,0.979718836
1995:2,6724.2,4593.6,4593.6,9187.2,1153.8,0.998,774,888.71,-1.497732599,120.1008847,0.988002607
1995:3,6779.5,4623.4,4623.4,9246.8,1156.3,1,806.29,893.13,-1.019877341,118.4600197,0.983305717
1995:4,6825.8,4650,4650,9300,1171.7,1.003,826.12,900.9,-0.790053978,116.1665053,0.979886021
1996:1,6882,4692.1,4692.1,9384.2,1201.6,1.006,833.61,929.06,-1.009966246,114.858915,0.976555134
1996:2,6983.9,4746.6,4746.6,9493.2,1241.6,1.011,845.47,958.94,-1.232108216,114.6306981,0.977705165
1996:3,7020,4768.3,4768.3,9536.6,1264,1.018,849.89,990.01,-1.499337955,114.6175594,0.973572684
1996:4,7093.1,4802.6,4802.6,9605.2,1273,1.024,911.05,1006.97,-1.018111122,113.999088,0.983520589
1997:1,7166.7,4853.4,4853.4,9706.8,1279.9,1.03,929.41,1050.94,-1.172847266,111.0946526,0.973062936
1997:2,7236.5,4872.7,4872.7,9745.4,1315.8,1.035,963.59,1095.21,-1.076468983,110.5420244,0.959281672
1997:3,7311.2,4947,4947,9894,1372.1,1.039,988.11,1130.52,-1.159005238,108.7035292,0.958345136
1997:4,7364.6,4981,4981,9962,1380.6,1.045,998.84,1147.84,-1.196922891,104.8071548,0.957157251
1998:1,7464.7,5055.1,5055.1,10110.2,1436.7,1.049,991.88,1190.41,-1.476586913,100.2774342,0.939208596
1998:2,7498.6,5130.2,5130.2,10260.4,1471.6,1.051,972.13,1217.3,-1.88730659,100.2673797,0.932563474
1998:3,7566.5,5181.8,5181.8,10363.6,1484.9,1.052,965.28,1224.33,-1.93841577,97.70713913,0.927789663
1998:4,7677.7,5246,5246,10492,1523,1.06,1009.58,1259.63,-1.799290421,101.9610509,0.929655412
